Teff_key,Prot_key,logRHK_key,BV
5924,19.1,-4.7402,0.578568
5861,13.54,-4.8619,0.598411
5267,5.3,-4.4869,0.796738
6247,10.49,-4.7051,0.480036
5160,30.82,-4.8191,0.83483
5102,29.18,-4.7492,0.85581
5814,15.76,-4.917,0.613355
6402,5.0,-4.9417,0.44
6304,8.83,-4.8485,0.463179
5877,14.48,-4.8358,0.593352
5561,16.51,-4.7235,0.695928
5260,14.59,-4.5493,0.799206
6022,6.39,-4.544,0.548116
6168,7.08,-4.6605,0.503657
5896,13.71,-4.873,0.587361
5159,32.83,-4.8712,0.83519
6117,9.1,-4.771,0.519066
5590,14.0,-4.6319,0.686274
6153,7.39,-4.9642,0.508176
6237,6.5,-4.8043,0.48301
6293,6.27,-4.7778,0.46642
6024,10.93,-4.9291,0.5475
5924,13.5,-4.9712,0.578568
6011,10.61,-4.6921,0.55151
6392,4.08,-4.8742,0.44
6276,6.51,-4.9582,0.47144
6145,8.69,-4.756,0.51059
5493,15.19,-4.7386,0.718762
5827,21.13,-4.804,0.609209
5550,22.88,-4.8611,0.699603
6322,6.31,-4.7586,0.457887
6218,7.89,-5.0281,0.488672
6441,4.09,-4.6843,0.44
5747,19.42,-5.0055,0.634867
5747,23.2,-4.9865,0.634867
5579,20.47,-4.8158,0.68993
5487,8.85,-4.5697,0.720791
6057,3.65,-4.6331,0.537361
6282,5.24,-4.9387,0.469667
6025,10.6,-4.889,0.547192
5773,11.32,-5.1343,0.626489
5826,14.0,-4.7962,0.609528
5336,25.72,-4.8588,0.772582
5910,15.22,-4.8618,0.582959
5570,19.96,-4.8743,0.692927
5873,16.21,-4.8367,0.594615
5795,18.86,-4.7748,0.61943
5671,41.49,-5.0622,0.659574
5575,35.59,-4.8222,0.691261
5626,22.03,-4.9219,0.67436
6413,3.27,-4.6899,0.44
5296,9.17,-4.584,0.786547
5660,9.63,-4.6646,0.663178
6012,11.06,-4.9325,0.551201
5728,9.81,-4.4936,0.641013
6133,13.45,-4.6102,0.514218
5407,28.58,-4.8875,0.74805
5914,14.95,-4.7578,0.581704
6093,9.05,-4.7897,0.526362
6222,11.21,-4.6603,0.487479
5625,26.46,-4.9365,0.67469
5918,14.78,-4.9162,0.580449
5977,12.38,-4.9712,0.562037
5695,19.39,-4.7636,0.651736
6484,3.55,-4.6692,0.44
6438,3.09,-4.833,0.44
5395,9.49,-4.6529,0.752173
5828,23.31,-4.9551,0.608891
5863,6.04,-4.59,0.597778
5914,16.16,-4.8535,0.581704
5275,18.09,-4.631,0.793921
5368,17.84,-4.6974,0.761485
5908,15.62,-4.8012,0.583588
5963,9.42,-4.7399,0.56639
6085,16.53,-5.0594,0.528801
6015,8.14,-4.5942,0.550275
6299,5.98,-4.8205,0.464651
6041,10.85,-4.8037,0.54227
6089,10.53,-4.9808,0.527581
6348,6.64,-4.7419,0.45027
5685,7.1,-4.4256,0.654998
5891,19.73,-4.8896,0.588936
6462,3.23,-4.6663,0.44
5996,10.61,-4.9575,0.556147
6431,4.74,-4.7058,0.44
6332,8.68,-4.923,0.454953
5935,19.63,-4.8825,0.575125
6035,9.96,-4.733,0.544114
6490,19.49,-4.6205,0.44
6406,4.84,-4.7798,0.44
6225,12.21,-4.9059,0.486584
6096,6.85,-4.7046,0.525449
5977,11.36,-4.9771,0.562037
6138,9.68,-4.8043,0.512706
5065,9.43,-4.5076,0.869319
5783,6.48,-4.6548,0.623277
6459,5.66,-4.7156,0.44
5678,20.35,-4.8628,0.657285
5311,31.52,-4.9326,0.781298
5802,26.44,-4.703,0.617189
5688,8.78,-4.5355,0.654019
6299,5.68,-4.8435,0.464651
6263,1.67,-4.4775,0.475289
5941,16.84,-5.0241,0.57325
5582,13.13,-4.648,0.688932
6411,2.69,-4.894,0.44
5238,20.63,-4.6956,0.806985
5638,16.28,-4.7434,0.670406
5845,16.88,-4.7488,0.603485
6166,6.13,-4.7285,0.504258
5729,19.5,-4.776,0.640689
6285,5.05,-4.7455,0.468781
6148,8.78,-4.9433,0.509684
5129,27.61,-4.9702,0.846014
6210,4.68,-4.6735,0.491062
6177,8.61,-4.8249,0.50095
6053,11.85,-4.9242,0.538587
5466,9.83,-4.5863,0.727908
5966,7.81,-4.5972,0.565456
6323,5.37,-4.721,0.457593
6428,4.18,-4.6183,0.44
6436,3.51,-4.736,0.44
5723,17.73,-4.9664,0.642634
6265,3.93,-4.6588,0.474696
5840,14.07,-4.8373,0.605073
6185,7.99,-4.9694,0.498548
5761,8.91,-4.6195,0.630351
5699,18.32,-4.9851,0.650433
6038,10.54,-4.9438,0.543192
6477,2.54,-4.8293,0.44
6086,7.29,-4.7279,0.528496
5755,5.72,-4.5912,0.632285
5631,25.46,-5.0573,0.672711
5900,11.67,-4.7667,0.586103
5993,19.37,-4.9094,0.557076
6038,5.52,-4.8463,0.543192
6401,3.88,-4.8692,0.44
