source,Gaia_id,KIC_id,logRHK,e_logRHK,Prot,Teff,BV,FeH_native,e_FeH_native,Mass,Age,tau_conv,tau_Noyes1984,Ro,log_Ro,F_Ca,F_bas,delta_F,log_dF,epsilon,log_epsilon,dTeff
Ye2024,2052162312063747200,3864237,-5.0455,0.0139,24.52,5825,0.609846,-0.14,0.03,1.0,8.14,14.454397707459272,,1.6963695406932326,0.22952046584637753,587889.164121078,484547.44106938195,103341.72305169603,5.014275698409615,0.213274726667886,-0.671060605961682,0.053
Ye2024,2052369402515399552,4164511,-4.5256,0.0106,4.16,6358,0.447348,-0.49,0.03,1.08,4.6,12.87049780038931,,0.32321982137118016,-0.49050201408504224,2762446.2143922662,898275.7824240633,1864170.4319682028,6.270485615249557,2.0752762886889835,0.31707592401933976,0.586
Ye2024,2052502134185030272,4753787,-4.9036,0.0103,6.81,6192,0.496449,0.2,0.02,1.32,2.24,9.386296808958306,,0.7255257465862914,-0.13934717123182455,1040723.898006807,745432.2554732389,295291.6425335681,5.470251155556623,0.39613478000908575,-0.40215702555097155,0.42
Ye2024,2052512716984478848,4930802,-4.979,0.0159,16.64,5848,0.602533,0.05,0.03,1.14,6.52,11.843039123414078,,1.4050447546949476,0.14769015798308746,696051.2094370694,498197.92670155666,197853.2827355127,5.296343260374559,0.3971379087132088,-0.40105865547156005,0.076
Ye2024,2052562950915998848,2714250,-4.9577,0.0189,23.54,5209,0.817289,0.11,0.03,0.88,6.11,17.42033268532819,,1.3512945145890316,0.13075001380462356,460181.5116279195,220352.62063321366,239828.89099470584,5.3799014992123615,1.0883868333651963,0.036783279311847265,-0.563
Ye2024,2052582673406245248,2851750,-4.8729,0.0176,13.59,6185,0.498548,-0.16,0.04,1.16,4.07,11.52693877886925,,1.1789773729789106,0.07150547016319882,1111912.3462175808,739511.467544,372400.8786735808,5.571010697021006,0.5035768815193166,-0.29793421593322467,0.413
Ye2024,2052605144675382912,2571841,-4.8342,0.0149,11.24,6122,0.51755,-0.01,0.03,1.14,2.47,11.843039123414078,,0.9490807117050006,-0.022696852738575413,1166769.418782936,688015.0575549239,478754.361228012,5.680112743214033,0.6958486678030201,-0.15748519987824436,0.35
Ye2024,2052660876170760704,2853765,-5.014,0.0097,25.01,5643,0.66876,-0.19,0.02,0.94,4.45,15.836148205371112,,1.5792981775402566,0.19846413421021955,556739.3751795933,387387.7242135618,169351.65096603154,5.228789434827371,0.43716318401630655,-0.3593564195764203,-0.129
Ye2024,2052679705307348480,3116513,-4.7942,0.0107,10.96,5984,0.559865,-0.21,0.03,1.0,2.61,14.454397707459272,,0.7582467441271546,-0.12018944585164949,1167825.8280976166,585855.7182817529,581970.1098158637,5.764900679709363,0.9933676358450758,-0.0028899935282924697,0.212
Ye2024,2052681388934740352,3342952,-4.851,0.0096,21.81,5419,0.743935,0.18,0.02,0.96,4.39,15.354869714245666,,1.420396291592465,0.15240952976374325,689109.6643446924,291158.86292142177,397950.8014232706,5.5998293836538,1.3667823724489196,0.1356993690164452,-0.353
Ye2024,2052696679018875392,3344810,-4.8718,0.0163,37.45,5592,0.68561,-0.4,0.03,0.84,12.58,18.60920008626386,,2.012445447756953,0.3037241165881103,744869.8359806234,363369.5217540937,381500.3142265297,5.581494900002018,1.0498962939569427,0.021146402701764058,-0.18
Ye2024,2052731863391554176,3341897,-4.5024,0.0095,5.32,6077,0.531243,-0.39,0.03,1.02,7.05,14.032847450821215,,0.3791105132899217,-0.4212341717843541,2432028.6235025753,653144.2626143539,1778884.3608882213,6.25014771702127,2.723570369841181,0.4351386007726916,0.305
